location,lat,long,painting
Wolverhampton Art Gallery and Museums,52.586785,-2.127172,Purist Painting with Bottles
Rhode Island School of Design Museum,41.826856,-71.40731,Pyramids II
"Fogg Art Museum, Harvard University ",42.374022,-71.113725,Reclining Nude
State Museum of Russia,59.938399,30.3322,Ruins
Museum of Fine Arts,42.338889,-71.093812,Seascape
Stuttgarter Staatsgalerie,48.782438,9.187792,Spray
Seibu Art Museum,35.729185,139.711954,Still Life
Nelson-Atkins Museum,39.045364,-94.580789,Still Life in Yellow and Black
Gori Collection,43.941197,10.980942,Still Life with Dossier
Philadelphia Museum of Art,39.966211,-75.181717,Still Life with Goldfish
University Art Museum: California State Long Beach,33.783398,-118.114877,Study for Purist Still Life
Seattle Art Museum ,47.607175,-122.338412,Study for Vicki!
Tel Aviv Museum of Art,32.077803,34.786682,Tel Aviv Mural
Victoria and Albert Museum,51.496168,-0.171923,The Collars
Denver Art Museum,39.73685,-104.989463,The Violin
Museum Ludwig (Budapest),47.469776,19.071026,Vicki! I -- I Thought I Heard Your Voice!
The Thyssen-Bornemisza Collection,40.415886,-3.694592,Woman in Bath
Frederick R. Weisman Art Museum ,44.973316,-93.236969,World's Fair Mural
Kunstmuseum,47.501566,8.730501,Yellow Landscape
Ulmer Museum,48.396878,9.99445,Yellow Sky
